institution_number,institution_name,type,first_date,last_date,num_months
10760,WEST ONE MORTGAGE,Originator,2010-05-01,2010-06-01,2
10761,ACCELERATED MORTGAGE,Originator,2010-08-01,2010-08-01,1
10763,FIRST FINANCIAL MORTGAGE CO,Originator,2010-05-01,2011-01-01,9
10764,AMERICAN HOME MORTGAGE CORP,Originator,2010-05-01,2010-07-01,2
10769,AMERICAN BANK NA,Originator,2010-05-01,2025-05-01,123
1077,CUSTOMER SERVICE MORTGAGE CORPORATION,Originator,2022-06-01,2023-02-01,3
10775,A AND B MORTGAGE INC,Originator,2010-05-01,2011-01-01,7
1078,ALLTRUST CREDIT UNION,Originator,2022-03-01,2023-06-01,7
10783,BROYLES MORTGAGE BROKERS LLC,Originator,2011-01-01,2011-01-01,1
1079,"ESSENTIAL MORTGAGE PARTNERS, LLC",Originator,2022-11-01,2024-01-01,15
10793,QUANTUM MORTGAGE GROUP INC,Originator,2010-05-01,2010-12-01,5
10794,BORROWERS ADVANTAGE INC,Originator,2021-09-01,2021-09-01,1
108,NORTHERN MORTGAGE SERVICES INC,Originator,2015-03-01,2018-02-01,35
108,"NORTHERN MORTGAGE SERVICES, LLC",Originator,2018-03-01,2018-04-01,2
108,NORTHERN MORTGAGE SERVICES LLC,Originator,2018-05-01,2025-05-01,83
108,NORTHERN MORTGAGE SERVICES INC,Sponsor,2016-06-01,2016-06-01,1
108,NORTHERN MORTGAGE SERVICES LLC,Sponsor,2019-03-01,2023-10-01,2
10805,LOANS OF ANY NATURE INCORPORATED,Originator,2010-07-01,2011-06-01,9
10808,CAMPBELL FINANCIAL SERVICES,Originator,2010-05-01,2010-12-01,7
10809,KEVRON INVESTMENTS INC,Originator,2010-05-01,2011-02-01,10
10810,MORTGAGE AFFILIATES OF AMERICA INC,Originator,2010-05-01,2011-03-01,8
10813,STATE EMPLOYEES CREDIT UNION OF MD INC,Originator,2011-01-01,2025-06-01,171
10818,ROGUE FEDERAL CREDIT UNION,Originator,2010-05-01,2011-02-01,7
10821,COWLITZ BANK,Originator,2010-05-01,2010-05-01,1
10831,LEGACYTEXAS BANK,Originator,2011-07-01,2019-12-01,100
10836,JJJ MARABOTO,Originator,2010-05-01,2011-02-01,9
10837,CONSUMER FUNDING INC,Originator,2010-05-01,2010-12-01,5
1084,PORTAGE BANK,Originator,2025-02-01,2025-06-01,5
10841,CITIZENS COMMUNITY BANK,Originator,2010-05-01,2012-06-01,26
10841,CITIZENS COMMUNITY BANK,Sponsor,2012-04-01,2012-04-01,1
10842,LMC FUNDING INC,Originator,2010-05-01,2011-06-01,8
10854,COASTAL LENDING FINANCIAL CORP,Originator,2010-05-01,2011-06-01,9
10855,DNJ REALTY SERVICES INC,Originator,2010-05-01,2011-04-01,12
10866,AGENCY FOR CONSUMER EQUITY MORTGAGE INC,Originator,2010-06-01,2010-06-01,1
1087,"SPROUT MORTGAGE, LLC",Originator,2022-05-01,2022-09-01,5
10873,"CONSOLIDATED MORTGAGE SERVICES, LLC",Originator,2010-05-01,2011-02-01,10
10874,Q LENDING INC.,Originator,2010-05-01,2010-06-01,2
10875,PRESTIGE MORTGAGE CORP,Originator,2010-06-01,2010-07-01,2
10884,KLW INC,Originator,2010-05-01,2011-03-01,11
10885,MORTGAGE MATCH INC,Originator,2010-07-01,2010-12-01,3
10893,CORPORATE INVESTORS MORTGAGE GROUP,Originator,2010-05-01,2025-06-01,173
10898,WILMINGTON MORTGAGE SERVICES,Originator,2010-05-01,2010-08-01,4
10899,KDL INC,Originator,2010-05-01,2011-01-01,9
10907,BANK OF CHOICE COLORADO,Originator,2010-06-01,2010-06-01,1
10912,YELLOWSTONE MORTGAGE INC,Originator,2010-05-01,2011-02-01,9
10916,STATESIDE MORTGAGE LENDING,Originator,2010-05-01,2011-01-01,7
10920,PAY LESS MORTGAGE CORP,Originator,2010-05-01,2010-10-01,5
10926,PROVINCIAL BANK,Originator,2010-05-01,2011-03-01,11
1093,ROYAL CREDIT UNION,Originator,2022-10-01,2025-06-01,33
10935,MYLAN INVESTMENTS INC,Originator,2010-05-01,2010-08-01,3
10938,HOMESTAR MORTGAGE INC,Originator,2010-11-01,2011-02-01,2
1094,"INSPIRO FINANCIAL, LLC",Originator,2022-03-01,2022-09-01,7
10943,K AND B CAPITAL CORPORATION,Originator,2010-05-01,2022-06-01,19
1097,"TRUSTAR MORTGAGE, LLC",Originator,2022-03-01,2023-08-01,14
1097,"ARCHER MORTGAGE, LLC",Originator,2023-11-01,2025-06-01,11
1097,"TRUSTAR MORTGAGE, LLC",Sponsor,2022-07-01,2022-07-01,1
10971,FIRST FED MORTGAGE INC,Originator,2010-05-01,2011-03-01,10
10972,HOME TOWN MORTGAGE INC,Originator,2010-05-01,2011-02-01,9
10975,CITY FIRST MTG SERVICES LLC,Originator,2010-05-01,2025-06-01,182
10977,FAMILY FUNDING CORPORATION,Originator,2010-05-01,2010-08-01,4
10979,BUILDERS AFFILIATED MORTGAGE SERVICES,Originator,2010-05-01,2010-05-01,1
10980,MORTGAGE NOW INC,Originator,2010-05-01,2025-06-01,172
10987,GREATLAND MORTGAGE CORP,Originator,2010-05-01,2011-06-01,13
1099,"TOMO MORTGAGE, LLC",Originator,2023-10-01,2025-06-01,9
10990,FARMERS AND MERCHANTS BANK,Originator,2010-06-01,2012-03-01,9
10990,F AND M BANK,Originator,2012-04-01,2025-06-01,137
10991,ALL AMERICAN LENDING GROUP LLC,Originator,2010-05-01,2010-12-01,7
10996,LAKESIDE MORTGAGE AND LOAN,Originator,2010-05-01,2011-02-01,9
10998,LUXURY MORTGAGE CORP,Originator,2010-05-01,2022-10-01,149
10998,LUXURY MORTGAGE CORP,Sponsor,2010-05-01,2010-11-01,4
11006,FAMILY HOME FINANCE CORP,Originator,2010-05-01,2011-05-01,13
11008,HOMESTEAD SAVINGS BANK,Originator,2010-05-01,2010-05-01,1
11009,SFMC LP,Originator,2010-05-01,2025-06-01,182
11009,SFMC LP,Sponsor,2010-05-01,2025-06-01,41
1102,CAKE MORTGAGE CORP.,Originator,2022-07-01,2025-05-01,19
1102,CAKE MORTGAGE CORP.,Sponsor,2024-03-01,2024-06-01,2
11028,CENTRUE BANK,Originator,2010-05-01,2011-06-01,7
11030,BANCO POPULAR NORTH AMERICA,Originator,2010-05-01,2011-10-01,12
11035,PRESTIGE HOME MORTGAGE LLC,Originator,2010-05-01,2010-06-01,2
11037,MORTGAGE ASSISTANCE CO LLC,Originator,2010-05-01,2011-04-01,12
11040,BRIGHTSTAR CREDIT UNION,Originator,2010-09-01,2010-09-01,1
11047,ENTERPRISE BANK & TRUST_____________,Originator,2010-05-01,2011-01-01,9
11047,ENTERPRISE BANK & TRUST,Originator,2011-02-01,2025-03-01,114
11054,MARK I MORTGAGE,Originator,2010-05-01,2011-04-01,12
1106,REGENT BANK,Originator,2023-11-01,2025-01-01,7
11067,FIRST EQUITY RESIDENTIAL MORTGAGE INC,Originator,2010-05-01,2011-02-01,7
11068,PRO MORTGAGE CORPORATION,Originator,2010-06-01,2011-02-01,6
11069,ASSURED HOME LOANS INC,Originator,2010-05-01,2011-05-01,12
11073,AMALGAMATED BANK OF CHICAGO,Originator,2010-05-01,2010-08-01,3
1108,"THE LOAN STORE, INC.",Originator,2023-12-01,2025-01-01,8
1108,"THE LOAN STORE, INC.",Sponsor,2023-09-01,2025-06-01,22
1109,AMERICAN BANK OF COMMERCE,Originator,2022-05-01,2025-06-01,20
11096,SOUTHERN BANCORP BANK,Originator,2010-05-01,2011-08-01,10
111,"CHICAGO FINANCIAL SERVICES, INC.",Originator,2019-06-01,2023-11-01,34
111,"CHICAGO FINANCIAL SERVICES, INC.",Sponsor,2019-04-01,2019-07-01,3
1110,"COASTAL LOANS, LLC",Originator,2022-10-01,2025-06-01,29
11101,MCCAFFREY HOME MORTGAGE INC,Originator,2010-05-01,2011-05-01,13
11104,FIRST TRUST MORTGAGE CORP,Originator,2010-05-01,2011-03-01,11
11105,JMJ FINANCIAL GROUP,Originator,2010-05-01,2025-06-01,182
11105,JMJ FINANCIAL GROUP,Sponsor,2013-10-01,2015-09-01,7
11108,GULF STATES MORTGAGE CORPORATION,Originator,2010-05-01,2011-01-01,7
11111,HYDE PARK BANK AND TRUST CO,Originator,2011-01-01,2011-01-01,1
11114,UNITED BANK,Originator,2010-05-01,2025-05-01,139
11116,WOOD AND HUSTON BANK,Originator,2010-07-01,2010-10-01,2
11147,FIRST NEW ENGLAND MORTGAGE CORPORATION,Originator,2010-05-01,2011-02-01,9
11148,PRISMA MORTGAGE CORP,Originator,2010-08-01,2010-10-01,3
11149,COMMUNITY BANK,Originator,2010-05-01,2011-01-01,7
11160,PACWEST FUNDING INC,Originator,2010-05-01,2011-05-01,12
11163,CRESCENT BANK AND TRUST COMPANY,Originator,2010-05-01,2010-08-01,4
11165,DOUGLAS COUNTY BANK,Originator,2010-05-01,2011-04-01,7
11180,WORKMAN GROUP INC,Originator,2010-05-01,2010-10-01,6
11185,GRANITE STATE MORTGAGE CORPORATION,Originator,2010-05-01,2011-01-01,5
11186,CHANNELWOOD MORTGAGE INC,Originator,2010-05-01,2010-12-01,7
11187,EXPRESS MORTGAGE GROUP INC,Originator,2010-05-01,2011-02-01,9
11191,EAST WEST BANK,Originator,2010-05-01,2010-10-01,5
1120,GREENSTATE CREDIT UNION,Originator,2022-06-01,2025-06-01,37
11200,BENCHMARK FUNDING INC,Originator,2010-05-01,2011-07-01,11
11212,LA MORTGAGE INC,Originator,2010-05-01,2011-05-01,11
11217,CACHE BANK AND TRUST,Originator,2010-05-01,2011-01-01,8
11220,SAGE CAPITAL BANK NATIONAL ASSOCIATION,Originator,2010-06-01,2010-11-01,5
11223,COMMUNITY FIRST BANKING COMPANY,Originator,2010-05-01,2010-10-01,2
11224,COMMUNITY BANK MORTGAGE CORPORATION,Originator,2010-07-01,2011-01-01,7
11227,FIRST NATIONAL BANK OF GERMANTOWN,Originator,2010-08-01,2011-01-01,3
11235,EAST COAST MTG AND FINANCIAL SERVICES,Originator,2010-05-01,2011-03-01,11
11239,AFFINITY MORTGAGE CORPORATION,Originator,2010-05-01,2011-02-01,7
11259,MONEY HOUSE INC,Originator,2010-05-01,2025-06-01,182
11259,MONEY HOUSE INC,Sponsor,2015-09-01,2023-10-01,36
11293,METAMERICA MORTGAGE BANKERS INC,Originator,2010-05-01,2011-03-01,11
11293,METAMERICA MORTGAGE BANKERS INC,Sponsor,2010-05-01,2011-02-01,10
